PID,RELS_EXT_hasModel_uri_s,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_isMemberOf_uri_ms,RELS_EXT_isConstituentOf_uri_ms,RELS_EXT_isPageOf_uri_ms,dc.format,dc.language,dc.relation,dc.description,dc.coverage,dc.identifier,dc.subject,dc.contributor,dc.publisher,dc.date,dc.title,dc.rights,dc.type,dc.source,dc.creator,sequence,file,ID,model
cbu:1725,,info:fedora/cbu:faculty-works,,,,,,Echolocation--1705-7523,,,"cbu:1725,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,Shifts,,"Text,Poem",,,,,1,ir:citationCModel
cbu:1724,,info:fedora/cbu:faculty-works,,,,,,The Nashwaak Review--1205-7681,,,"cbu:1724,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,Saving grace,,"Text,Poem",,,,,2,ir:citationCModel
cbu:1723,,info:fedora/cbu:faculty-works,,,,,,The Nashwaak Review--1205-7681,,,"cbu:1723,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,Win Win,,"Text,Journal Article",,,,,3,ir:citationCModel
cbu:1722,,info:fedora/cbu:faculty-works,,,,,,The Nashwaak Review--1205-7681,,,"cbu:1722,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,captured,,"Text,Poem",,,,,4,ir:citationCModel
cbu:1721,,info:fedora/cbu:faculty-works,,,,,,The Nashwaak Review--1205-7681,,,"cbu:1721,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,Godsends,,"Text,Poem",,,,,5,ir:citationCModel
cbu:1727,,info:fedora/cbu:faculty-works,,,,,,The Malahat Review--0025-1216,,,"cbu:1727,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,"The prisoner's telegraph (samizdat poems\, for alexsandr solzhenitsyn)",,"Text,Poem",,,,,6,ir:citationCModel
cbu:1728,,info:fedora/cbu:faculty-works,,,,,,Filling Station--1198-0060,,,"cbu:1728,cbu-school: School of Arts and Social Sciences,cbu-department: L'nu\, Political\, and Social Studies",poetry,"Howard\, Sean (author)",,,Shadowgraph 114 ('except that I couldn't leave'),,"Text,Poem",,,,,7,ir:citationCModel
cbu:1673,,info:fedora/cbu:faculty-works,,,,,,Atlantic Geology--atgeol--1718-7885--0843-5561,"A new preservation state for the medullosalean male organ Dolerotheca is exemplified by a detached 31-mm sideritic mold with intact coalified compression from shale from the roof of a coal seam in the Sydney Coalfield\, Cape Breton Island\, Nova Scotia\, Canada. Clearly recognizable in the specimen is the quadripartite campanulum. Furthermore\,  maceration  yielded  significant  internal  information  on  acellular\,  cuticular\,  stomatiferous  and  pubescent surfaces\, and prepollen sacs with grains. Stomata are rare and of the cyclocytic type. The rectangular prepollen sacs occur as doubly paired rows of sporangia that are radially arranged\, and contain ellipsoidal prepollen grains 400−520 μm long and circular prepollen grains 330−460 μm in diameter. The approximate ratio of circular to ellipsoidal grains is 1:2. Regardless of shape\, the prepollen grains are attributable to the genus Monoletes. The circular grains bear vestigial trilete marks. Infrared-based functional-group chemistry distinguishes between the cover-type compression state and prepollen grains on the basis of higher aliphatic and oxygenated group contents in the grains. In summary\, the specimen represents a novel state of nodular preservation with intact compression.  Although  the  specimen  is  attributed  to  the  genus  Dolerotheca\,  specific  assignment  is  not  possible  because  of  limited preservation and material.",,"cbu:1673,doi: 10.4138/atlgeol.2019.008,https://journals.lib.unb.ca/index.php/ag/article/view/26421,cbu-school: School of Science and Technology,cbu-department: Biology",paleontology--plants,"Zodrow\, Erwin L. (author),Mastalerz\, Maria (author)",,2019-05-24,"Novel preservation state of Dolerotheca (medullosalean male organ) from the Late Pennsylvanian of the Sydney Coalfield\, Nova Scotia\, Canada",,"Journal Article,Text",,,,,8,ir:citationCModel
cbu:1675,,info:fedora/cbu:faculty-works,,,,,,Annals of Tourism Research--Annals of Tourism Research--01607383,"This paper examines the effects of social tourism on a First Nation community. Hypothesizing that social tourism promotes self-reported subjective well-being (SWB)\, we conducted an experiment to analyze the SWB effects of a one-day trip on low-income families from a First Nation community. Confirming our hypothesis\, results show improved SWB mean scores in four of six domains: namely family relations\, social life\, material well-being\, and leisure. Results also demonstrate that SWB effects are shaped by gender and age. These results have significant implications for policy related development\, particularly in regard to First Nation and low-income communities. Moreover\, this study is the first to apply social tourism theory to a First Nation community\, making its results and implications unique.",,"cbu:1675,doi: 10.1016/j.annals.2019.04.013,https://linkinghub.elsevier.com/retrieve/pii/S0160738319300623,cbu-school: Shannon School of Business,cbu-department: Organizational Management,cbu-department: Financial and Information Management",social tourism--subjective well-being--first nations--social policy,"Pyke\, Joanne (author),Pyke\, Sarah (author),Watuwa\, Richard (author)",,2019-07,Social tourism and well-being in a first nation community,,"Journal Article,Text",,,,,9,ir:citationCModel
cbu:1676,,info:fedora/cbu:faculty-works,,,,,,Acadiensis: Journal of the History of the Atlantic Region / Revue d’histoire de la region atlantique--Acadiensis--1712-7432,"On 13 October 1967 – “Black Friday” – the owners of the Dominion Steel and Coal Company (DOSCO) announced the imminent closure of the company’s Sydney steel works. Yet after a massive community demonstration dubbed the “Parade of Concern\,” the provincial government\, with significant federal assistance\, purchased the plant from DOSCO and turned it into a provincial Crown corporation. This state-centred response to deindustrialization demonstrates the economic\, political\, and cultural importance of “place” in adverting the collapse of heavy industry\, a response that was utterly absent in the American context and used only sparingly in the Canadian one.",,"cbu:1676,doi: 10.1353/aca.2019.0001,https://muse.jhu.edu/article/724300,cbu-school: School of Arts and Social Sciences,cbu-department: Humanities",industrialism--history,"Parnaby\, Andrew (author)",,2019,"Roots\, region\, and resistance: Facing industrial ruin in Sydney\, Cape Breton\, during Canada’s centennial year",,"Journal Article,Text",,,,,10,ir:citationCModel
