PID,RELS_EXT_hasModel_uri_s,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_isMemberOf_uri_ms,RELS_EXT_isConstituentOf_uri_ms,RELS_EXT_isPageOf_uri_ms,dc.format,dc.language,dc.relation,dc.description,dc.coverage,dc.identifier,dc.subject,dc.contributor,dc.publisher,dc.date,dc.title,dc.rights,dc.type,dc.source,dc.creator,sequence,file,ID,model
msvu:5928,,info:fedora/msvu:5902,,,,"print,4 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and cross-country running.",Mount Saint Vincent University Halifax (N.S.),msvu:5928,"College publications,College publications--Mount Saint Vincent University Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,1987,Athletics/Recreation Review 1987,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5928/datastream/OBJ/download,1,islandora:sp_pdf
msvu:5912,,info:fedora/msvu:5902,,,,"print,6 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and cross-country running.",Halifax (N.S.),msvu:5912,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1991,Athletics/Recreation Review 1991,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5912/datastream/OBJ/download,2,islandora:sp_pdf
msvu:5909,,info:fedora/msvu:5902,,,,"print,3 pages; b & w",,,"Teams include women's soccer\, men's basketball\, women's basketball\, women's volleyball\, co-ed badminton\, and the Recreation Council.",Mount Saint Vincent University Halifax (N.S.),msvu:5909,"College publications,College publications--Mount Saint Vincent University Halifax (N.S.)",Mount Saint vincent University (Issuer),This item was published by the Mount Saint Vincent University Athletics Department.,1986,Athletics/Recreation Review 1985-86,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5909/datastream/OBJ/download,3,islandora:sp_pdf
msvu:5916,,info:fedora/msvu:5902,,,,"print,6 pages; b & w",,,"Teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and cross-country running.",Halifax (N.S.),msvu:5916,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,"March 27\, 1989",Athletics/Recreation Review 1989,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5916/datastream/OBJ/download,4,islandora:sp_pdf
msvu:5915,,info:fedora/msvu:5902,,,,"print,6 pages; b & w",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and cross-country running.",Halifax (N.S.),msvu:5915,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,"March 26\, 1990",Athletics/Recreation Review 1990,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5915/datastream/OBJ/download,5,islandora:sp_pdf
msvu:5914,,info:fedora/msvu:5902,,,,"print,6 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and cross-country running.",Halifax (N.S.),msvu:5914,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1992,Athletics/Recreation Review 1992,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5914/datastream/OBJ/download,6,islandora:sp_pdf
msvu:5917,,info:fedora/msvu:5902,,,,"print,4 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and women's cross-country running.",Mount Saint Vincent University Halifax (N.S.),msvu:5917,"College publications,College publications--Mount Saint Vincent University Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,"March 28\, 1988",Athletics/Recreation Review 1988,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5917/datastream/OBJ/download,7,islandora:sp_pdf
msvu:5921,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and ath/rec society.",Halifax (N.S.),msvu:5921,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2002,Athletics/Recreation Review 2002,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5921/datastream/OBJ/download,8,islandora:sp_pdf
msvu:5936,,info:fedora/msvu:5931,,,,"print,12 pages; b & w.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5936,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2010,Mystics Year in Review 2009-2010,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5936/datastream/OBJ/download,9,islandora:sp_pdf
msvu:5937,,info:fedora/msvu:5931,,,,"print,4 pages; b & w\, colour.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5937,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2009,Mystics Year in Review 2009,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5937/datastream/OBJ/download,10,islandora:sp_pdf
msvu:5938,,info:fedora/msvu:5931,,,,"print,4 pages; b & w.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5938,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2008,Mystics Year in Review 2008,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5938/datastream/OBJ/download,11,islandora:sp_pdf
msvu:5894,,info:fedora/msvu:athletics,,,,text,eng,,"The Athletics Recreation Yearbook was published by the MSVU Athletics/Recreation Department from 1977-1985. The yearbook consists of photographs\, team rosters\, and highlights from the Athletics/Recreation Department.",Halifax (N. S.),msvu:5894,"University athletics,University athletics--Halifax (N. S.)",Mount Saint Vincent University (Issuing body),,,Athletics Recreation Yearbook,,"Collection,Text",,,,,12,islandora:collectionCModel
msvu:5931,,info:fedora/msvu:athletics,,,,text,eng,,"The Mystics Year in Review is published by the MSVU Athletics/Recreation Department from 2006-present. The review documents varsity teams\, including photographs and team rosters\, as well as overviews of recreation and fitness activities for the year.","Halifax\, N. S.",msvu:5931,"University athletics,University athletics--Halifax\, N. S.",Mount Saint Vincent University (Issuer),,,Mystics Year in Review,"Copyright Mount Saint Vincent University. For research and personal use only. For publication purposes\, contact the Mount Archivist at archives@msvu.ca","Collection,Text",,,,,13,islandora:collectionCModel
msvu:5902,,info:fedora/msvu:athletics,,,,text,eng,,"The Athletics Recreation Review was published by the MSVU Athletics/Recreation Department from 1986-2005. The review consists of yearly updates on MSVU Athletic teams\, Recreation programs\, and general department news.",Halifax (N.S.),msvu:5902,"University athletics,University athletics--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),,,Athletics Recreation Review,,"Collection,Text,Newsletters",,,,,14,islandora:collectionCModel
msvu:5941,,info:fedora/msvu:athletics,,,,text,eng,,"The Mystics Athletics & Recreation Newsletter was published periodically by the MSVU Athletics/Recreation Department during 2007. The newsletter documents Athletics and Recreation events\, news\, and varsity game schedules.",,msvu:5941,,Mount Saint Vincent University (Issuer),,,Mystics Athletics & Recreation Newsletter,"Copyright Mount Saint Vincent University. For research and personal use only. For publication permission\, contact the Mount Archivist at archives@msvu.ca.","Collection,Text",,,,,15,islandora:collectionCModel
msvu:5926,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and the ath/rec society.",Halifax (N.S.),msvu:5926,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2001,Athletics/Recreation Review 2001,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5926/datastream/OBJ/download,16,islandora:sp_pdf
msvu:5918,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's soccer\, women's volleyball\, women's soccer\, and men's basketball.",Halifax (N.S.),msvu:5918,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2005,Athletics/Recreation Review 2005,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5918/datastream/OBJ/download,17,islandora:sp_pdf
msvu:5922,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and the ath/rec society.",Halifax (N.S.),msvu:5922,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2000,Athletics/Recreation Review 2000,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5922/datastream/OBJ/download,18,islandora:sp_pdf
msvu:5923,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, and co-ed badminton.",Halifax (N.S.),msvu:5923,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1998,Athletics/Recreation Review 1998,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5923/datastream/OBJ/download,19,islandora:sp_pdf
msvu:5933,,info:fedora/msvu:5931,,,,"print,12 pages; b & w\, colour.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5933,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2013,Mystics Year in Review 2012-2013,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5933/datastream/OBJ/download,20,islandora:sp_pdf
msvu:5934,,info:fedora/msvu:5931,,,,"print,10 pages; b & w\, colour.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5934,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2012,Mystics Year in Review 2011-2012,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5934/datastream/OBJ/download,21,islandora:sp_pdf
msvu:5935,,info:fedora/msvu:5931,,,,"print,12 pages; b & w\, colour.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5935,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2011,Mystics Year in Review 2010-2011,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5935/datastream/OBJ/download,22,islandora:sp_pdf
msvu:5932,,info:fedora/msvu:5931,,,,"print,10 pages; b & w\, colour.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer. Individual awards also included.",Halifax (N.S.),msvu:5932,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2014,Mystics Year in Review 2013-2014,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5932/datastream/OBJ/download,23,islandora:sp_pdf
