PID,RELS_EXT_hasModel_uri_s,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_isMemberOf_uri_ms,RELS_EXT_isConstituentOf_uri_ms,RELS_EXT_isPageOf_uri_ms,dc.format,dc.language,dc.relation,dc.description,dc.coverage,dc.identifier,dc.subject,dc.contributor,dc.publisher,dc.date,dc.title,dc.rights,dc.type,dc.source,dc.creator,sequence,file,ID,model
nscc:9652,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9652,,,,,BC_BRVS_198400050,,,,,50,https://nscc.cairnrepo.org/islandora/object/nscc:9652/datastream/OBJ/download,1,islandora:pageCModel
nscc:9658,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9658,,,,,BC_BRVS_198400056,,,,,56,https://nscc.cairnrepo.org/islandora/object/nscc:9658/datastream/OBJ/download,2,islandora:pageCModel
nscc:9650,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9650,,,,,BC_BRVS_198400048,,,,,48,https://nscc.cairnrepo.org/islandora/object/nscc:9650/datastream/OBJ/download,3,islandora:pageCModel
nscc:9655,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9655,,,,,BC_BRVS_198400053,,,,,53,https://nscc.cairnrepo.org/islandora/object/nscc:9655/datastream/OBJ/download,4,islandora:pageCModel
nscc:9653,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9653,,,,,BC_BRVS_198400051,,,,,51,https://nscc.cairnrepo.org/islandora/object/nscc:9653/datastream/OBJ/download,5,islandora:pageCModel
nscc:9654,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9654,,,,,BC_BRVS_198400052,,,,,52,https://nscc.cairnrepo.org/islandora/object/nscc:9654/datastream/OBJ/download,6,islandora:pageCModel
nscc:9661,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9661,,,,,BC_BRVS_198400059,,,,,59,https://nscc.cairnrepo.org/islandora/object/nscc:9661/datastream/OBJ/download,7,islandora:pageCModel
nscc:9660,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9660,,,,,BC_BRVS_198400058,,,,,58,https://nscc.cairnrepo.org/islandora/object/nscc:9660/datastream/OBJ/download,8,islandora:pageCModel
nscc:9656,,,info:fedora/nscc:9602,,info:fedora/nscc:9602,,,,,,nscc:9656,,,,,BC_BRVS_198400054,,,,,54,https://nscc.cairnrepo.org/islandora/object/nscc:9656/datastream/OBJ/download,9,islandora:pageCModel
nscc:12970,,,info:fedora/nscc:12949,,info:fedora/nscc:12949,,,,,,nscc:12970,,,,,PC_PRVS_197900021,,,,,21,https://nscc.cairnrepo.org/islandora/object/nscc:12970/datastream/OBJ/download,10,islandora:pageCModel
nscc:13006,,,info:fedora/nscc:12949,,info:fedora/nscc:12949,,,,,,nscc:13006,,,,,PC_PRVS_197900057,,,,,57,https://nscc.cairnrepo.org/islandora/object/nscc:13006/datastream/OBJ/download,11,islandora:pageCModel
nscc:13007,,,info:fedora/nscc:12949,,info:fedora/nscc:12949,,,,,,nscc:13007,,,,,PC_PRVS_197900058,,,,,58,https://nscc.cairnrepo.org/islandora/object/nscc:13007/datastream/OBJ/download,12,islandora:pageCModel
nscc:13005,,,info:fedora/nscc:12949,,info:fedora/nscc:12949,,,,,,nscc:13005,,,,,PC_PRVS_197900056,,,,,56,https://nscc.cairnrepo.org/islandora/object/nscc:13005/datastream/OBJ/download,13,islandora:pageCModel
nscc:13013,,,info:fedora/nscc:12949,,info:fedora/nscc:12949,,,,,,nscc:13013,,,,,PC_PRVS_197900064,,,,,64,https://nscc.cairnrepo.org/islandora/object/nscc:13013/datastream/OBJ/download,14,islandora:pageCModel
nscc:13019,,,info:fedora/nscc:12949,,info:fedora/nscc:12949,,,,,,nscc:13019,,,,,PC_PRVS_197900070,,,,,70,https://nscc.cairnrepo.org/islandora/object/nscc:13019/datastream/OBJ/download,15,islandora:pageCModel
